first_day_in_week,last_day_in_week,HGG_main_symb_weekly_mean_diff,ALRPR.TA_weekly_mean_diff_0.56_INT_SHOM.TA_weekly_mean_diff_0.39_corr_0.72,CLIS.TA_weekly_mean_diff_0.39,ELCRE.TA_weekly_mean_diff_0.39,HOD.TA_weekly_mean_diff_0.39,SHOM.TA_weekly_mean_diff_0.39,ZUR.TA_weekly_mean_diff_0.39,LDER.TA_weekly_mean_diff_0.4,ROTS.TA_weekly_mean_diff_0.4,SHGR.TA_weekly_mean_diff_0.4,PCBT.TA_weekly_mean_diff_0.41,FIBI.TA_weekly_mean_diff_0.45,HARL.TA_weekly_mean_diff_0.45,FIBIH.TA_weekly_mean_diff_0.46,PHOE.TA_weekly_mean_diff_0.46,PIU.TA_weekly_mean_diff_0.46,IES.TA_weekly_mean_diff_0.48,ALRPR.TA_weekly_mean_diff_0.56,ALRPR.TA_weekly_mean_diff_0.56_INT_FIBIH.TA_weekly_mean_diff_0.46_corr_0.73,ALRPR.TA_weekly_mean_diff_0.56_INT_ZUR.TA_weekly_mean_diff_0.39_corr_0.71,PHOE.TA_weekly_mean_diff_0.46_INT_HARL.TA_weekly_mean_diff_0.45_corr_0.83,BSEN.TA_weekly_mean_diff_0.37_INT_ALRPR.TA_weekly_mean_diff_0.56_corr_0.73,AZRM.TA_weekly_mean_diff_0.38_INT_ALRPR.TA_weekly_mean_diff_0.56_corr_0.74
2020-03-08,2020-03-14,-14.86000061035154,62461.82653045654,-274.25,-130.5,-82.50000476837158,-62.275001525878906,-112.17500305175781,-3.8000001907348633,-134.25,-38.67500305175781,-19.875,-362.5,-82.75,-485.5,-72.25,-71.30000305175778,-1000.0,-1003.0,486956.5,112511.52806091309,5978.6875,817946.5,70686.43112182617
2020-03-15,2020-03-21,22.69999504089353,71.06796020507812,42.6,-50.0,-11.35999679565432,-2.179998779296875,-17.55999755859375,-0.4400001525878906,-28.0,17.15999755859375,-10.879998779296875,170.0,29.0,225.2,4.6,-6.85999755859375,-340.0,-32.6,-7341.5199999999995,572.4559204101563,133.39999999999998,6767.76,245.8040795898434
2020-03-22,2020-03-28,1.199998855590843,14167.68,36.0,44.4,2.1799850463867188,37.6,15.05999755859375,-0.31999969482421875,62.0,35.84000244140625,5.6,10.0,37.0,116.0,54.4,11.039990234375,434.0,376.8,43708.8,5674.607080078125,2012.8,141073.91999999998,7016.016459960933
2020-03-29,2020-04-04,28.033336003621343,-1186.248449707031,82.8,51.2,22.580013275146463,-6.44000244140625,10.24000244140625,0.41999969482421873,23.6,3.4,21.3,-7.6,-8.6,50.8,10.8,37.32000732421875,546.0,184.2,9357.359999999999,1886.2084497070314,-92.88,24167.039999999997,2379.864224853515
2020-04-05,2020-04-11,14.000002543131547,-1422.932834201389,107.0,68.0,34.333324432373125,11.599995930989584,34.666666666666664,1.5333340962727864,58.333333333333336,-7.666666666666667,2.3333333333333335,80.33333333333333,9.0,65.33333333333333,7.666666666666667,4.666666666666667,476.6666666666667,-122.66666666666667,-8014.222222222222,-4252.444444444444,69.0,4252.444444444444,-3884.444444444445
2020-04-12,2020-04-18,-1.67999267578125,-3562.5,0.6666666666666666,-60.666666666666664,5.3333282470703125,12.5,-20.633341471354168,0.1999994913736979,40.666666666666664,8.0,-0.3333333333333333,-127.66666666666667,55.0,-190.66666666666666,11.333333333333334,25.466654459635453,-206.66666666666666,-285.0,54340.0,5880.5023193359375,623.3333333333334,-2470.0,3714.4976806640625
2020-04-19,2020-04-25,27.76664098103837,380.82426513671874,18.6,8.2,21.60000228881836,10.52000732421875,3.14000244140625,0.7200004577636705,15.2,19.8,2.5599975585937615,72.4,38.6,94.2,32.8,3.3,122.0,36.2,3410.0400000000004,113.66808837890626,1266.08,-4814.6,116.56382324218751
2020-04-26,2020-05-02,1.220016479492233,8791.196044921875,113.33333333333333,94.66666666666667,-10.666666666666666,27.133321126302082,53.933329264322914,2.366666158040367,63.0,12.333333333333334,1.1000061035156061,91.33333333333333,34.333333333333336,163.33333333333334,12.666666666666666,16.46667480468746,260.0,324.0,52920.0,17474.398681640625,434.8888888888889,44712.0,5724.0
2020-05-03,2020-05-09,-14.000015258789086,1753.6430712890624,1.4,-40.6,0.6,-9.2199951171875,4.2800048828125,-0.7599998474121094,-54.8,-10.2,3.1399963378906364,-31.0,-21.0,-104.8,-26.6,4.2,40.0,-190.2,19932.96,-814.0569287109375,558.6,16281.119999999997,3613.7999999999997
2020-05-10,2020-05-16,-11.459999084472654,5847.9372265625,-69.2,-17.2,-21.8,-23.2800048828125,-23.35999755859375,-0.7400001525878906,-7.2,-15.8,1.6800048828124887,-136.2,-29.6,-135.8,-34.2,-10.6,58.0,-251.2,34112.96,5868.03138671875,1012.3200000000002,42402.56,1281.12
2020-05-17,2020-05-23,-7.924997806549072,1123.3200000000002,-22.2,12.4,5.2,13.8,22.4,0.3,-44.0,14.0,4.539996337890625,40.0,32.6,62.6,16.0,3.8,160.0,81.4,5095.64,1823.36,521.6,12747.24,908.4238012695313
2020-05-24,2020-05-30,-18.849992752075195,-0.0,-20.5,-45.5,5.5,-8.17498779296875,-19.425003051757812,-1.5249996185302752,-20.75,-11.5,4.625,-14.0,3.75,-17.5,7.5,-19.875,-270.0,0.0,-0.0,-0.0,28.125,-0.0,-0.0
2020-05-31,2020-06-06,,-17.919921875,-25.0,4.6,15.8,1.1199951171875,-14.3800048828125,0.37999954223632953,4.4,2.2,-0.32000122070311365,-52.8,-22.8,-49.8,-28.0,-6.080004882812477,-102.0,-16.0,796.8,230.080078125,638.4,224.0,125.4400390625
