first_day_in_week,last_day_in_week,CANF_main_symb_weekly_mean_diff,SFET.TA_weekly_mean_diff_0.36,FRSX.TA_weekly_mean_diff_0.38,SPNTC.TA_weekly_mean_diff_0.38,IGLD.TA_weekly_mean_diff_0.47,BCOM.TA_weekly_mean_diff_0.52
2020-04-26,2020-05-02,-0.2599998474121093,0.0666666030883789,-0.2666664123535156,7.833333333333333,-62.333333333333336,13.233327229817727
2020-05-03,2020-05-09,-0.06000022888183594,-0.08000011444091797,2.5199996948242216,-7.24000244140625,-43.6,16.040002441406237
2020-05-10,2020-05-16,0.9600002288818368,-0.039999961853027344,-0.43999938964844176,26.74000244140625,-22.4,3.320001220703125
2020-05-17,2020-05-23,-0.20000028610229487,0.26000003814697265,-1.3400001525878893,13.6,-19.8,7.679998779296875
2020-05-24,2020-05-30,-0.01999969482422017,0.5250000953674316,2.9999990463256836,-7.5500030517578125,-30.25,0.07499694824221592
2020-05-31,2020-06-06,-0.9999999999999992,-0.3400001525878906,-0.6399993896484375,7.119995117187523,-41.2,28.899999999999977
2020-06-07,2020-06-13,0.0,0.125,3.0249996185302734,-21.37500000000003,-52.75,-6.8499908447265625
2020-06-14,2020-06-20,0.1,0.4600000381469723,1.1400009155273438,17.560009765624976,29.4,50.07999267578125
2020-06-21,2020-06-27,0.4599999308586128,0.2399999618530277,3.8799987792968778,3.1799926757812726,-15.0,-21.24000244140625
2020-06-28,2020-07-04,-0.3800000071525581,0.020000004768371937,2.959999752044675,-14.320001220703125,46.400018310546876,9.560001373291016
2020-07-05,2020-07-11,0.2399997711181641,0.07999999523162807,-1.4399985313415555,20.520001220703126,10.799981689453125,-13.039994049072266
2020-07-12,2020-07-18,1.140000152587891,-0.21999988555908168,-0.6600006103515597,-0.1199951171875,-44.8,0.94000244140625
2020-07-19,2020-07-25,-0.050000190734862386,-0.1,-0.9399993896484403,7.85999755859375,-39.4,-15.3800048828125
